Date,BTC_Closing,Sentiment
2022-01-01,47687.0,1
2022-01-02,47345.0,2
2022-01-03,46458.0,2
2022-01-04,45898.0,1
2022-01-05,43569.0,1
2022-01-06,43161.0,1
2022-01-07,41558.0,1
2022-01-08,41734.0,1
2022-01-09,41912.0,1
2022-01-10,41821.0,1
2022-01-11,42736.0,1
2022-01-12,43949.0,1
2022-01-13,42592.0,1
2022-01-14,43100.0,1
2022-01-15,43177.0,1
2022-01-16,43114.0,1
2022-01-17,42251.0,1
2022-01-18,42376.0,1
2022-01-19,41744.0,1
2022-01-20,40680.0,1
2022-01-21,36457.0,1
2022-01-22,35030.0,1
2022-01-23,36277.0,1
2022-01-24,36654.0,1
2022-01-25,36954.0,1
2022-01-26,36852.0,1
2022-01-27,37138.0,1
2022-01-28,37784.0,1
2022-01-29,38138.0,1
2022-01-30,37918.0,2
2022-01-31,38483.0,1
2022-02-01,38743.0,2
2022-02-02,36953.0,2
2022-02-03,37155.0,1
2022-02-04,41501.0,1
2022-02-05,41441.0,2
2022-02-06,42412.0,2
2022-02-07,43840.0,2
2022-02-08,44118.0,3
2022-02-09,44339.0,3
2022-02-10,43565.0,3
2022-02-11,42408.0,3
2022-02-12,42244.0,2
2022-02-13,42198.0,2
2022-02-14,42587.0,2
2022-02-15,44575.0,2
2022-02-16,43962.0,3
2022-02-17,40538.0,3
2022-02-18,40031.0,2
2022-02-19,40122.0,1
2022-02-20,38431.0,2
2022-02-21,37075.0,1
2022-02-22,38286.0,1
2022-02-23,37297.0,1
2022-02-24,38333.0,1
2022-02-25,39214.0,2
2022-02-26,39105.0,2
2022-02-27,37710.0,2
2022-02-28,43193.0,1
2022-03-01,44355.0,3
2022-03-02,43924.0,3
2022-03-03,42452.0,2
2022-03-04,39138.0,2
2022-03-05,39401.0,1
2022-03-06,38420.0,1
2022-03-07,38062.0,1
2022-03-08,38737.0,1
2022-03-09,41983.0,1
2022-03-10,39437.0,2
2022-03-11,38795.0,1
2022-03-12,38904.0,1
2022-03-13,37850.0,1
2022-03-14,39667.0,1
2022-03-15,39339.0,1
2022-03-16,41144.0,1
2022-03-17,40951.0,2
2022-03-18,41801.0,1
2022-03-19,42191.0,2
2022-03-20,41248.0,2
2022-03-21,41078.0,2
2022-03-22,42359.0,2
2022-03-23,42893.0,2
2022-03-24,43961.0,2
2022-03-25,44349.0,3
2022-03-26,44501.0,3
2022-03-27,46820.0,3
2022-03-28,47128.0,4
2022-03-29,47466.0,4
2022-03-30,47063.0,4
2022-03-31,45539.0,3
2022-04-01,46282.0,3
2022-04-02,45869.0,3
2022-04-03,46454.0,3
2022-04-04,46623.0,3
2022-04-05,45556.0,3
2022-04-06,43207.0,3
2022-04-07,43504.0,2
2022-04-08,42288.0,2
2022-04-09,42782.0,2
2022-04-10,42208.0,2
2022-04-11,39522.0,2
2022-04-12,40127.0,1
2022-04-13,41167.0,1
2022-04-14,39936.0,2
2022-04-15,40553.0,1
2022-04-16,40424.0,2
2022-04-17,39717.0,2
2022-04-18,40826.0,1
2022-04-19,41503.0,2
2022-04-20,41374.0,2
2022-04-21,40527.0,2
2022-04-22,39740.0,2
2022-04-23,39487.0,1
2022-04-24,39469.0,1
2022-04-25,40458.0,1
2022-04-26,38117.0,2
2022-04-27,39241.0,1
2022-04-28,39774.0,1
2022-04-29,38610.0,1
2022-04-30,37715.0,1
2022-05-01,38469.0,1
2022-05-02,38529.0,2
2022-05-03,37750.0,2
2022-05-04,39698.0,1
2022-05-05,36575.0,2
2022-05-06,36041.0,1
2022-05-07,35502.0,1
2022-05-08,34059.0,1
2022-05-09,30297.0,1
2022-05-10,31023.0,1
2022-05-11,28936.0,1
2022-05-12,29048.0,1
2022-05-13,29283.0,1
2022-05-14,30101.0,1
2022-05-15,31305.0,1
2022-05-16,29863.0,1
2022-05-17,30426.0,1
2022-05-18,28720.0,1
2022-05-19,30314.0,1
2022-05-20,29201.0,1
2022-05-21,29432.0,1
2022-05-22,30324.0,1
2022-05-23,29099.0,1
2022-05-24,29656.0,1
2022-05-25,29562.0,1
2022-05-26,29267.0,1
2022-05-27,28628.0,1
2022-05-28,28815.0,1
2022-05-29,29446.0,1
2022-05-30,31726.0,1
2022-05-31,31792.0,1
2022-06-01,29799.0,1
2022-06-02,30467.0,1
2022-06-03,29704.0,1
2022-06-04,29833.0,1
2022-06-05,29907.0,1
2022-06-06,31371.0,1
2022-06-07,31155.0,1
2022-06-08,30214.0,1
2022-06-09,30112.0,1
2022-06-10,29084.0,1
2022-06-11,28361.0,1
2022-06-12,26763.0,1
2022-06-13,22487.0,1
2022-06-14,22207.0,1
2022-06-15,22573.0,1
2022-06-16,20382.0,1
2022-06-17,20471.0,1
2022-06-18,19018.0,1
2022-06-19,20553.0,1
2022-06-20,20600.0,1
2022-06-21,20711.0,1
2022-06-22,19987.0,1
2022-06-23,21086.0,1
2022-06-24,21232.0,1
2022-06-25,21502.0,1
2022-06-26,21027.0,1
2022-06-27,20735.0,1
2022-06-28,20281.0,1
2022-06-29,20104.0,1
2022-06-30,19785.0,1
2022-07-01,19269.0,1
2022-07-02,19242.0,1
2022-07-03,19297.0,1
2022-07-04,20231.0,1
2022-07-05,20190.0,1
2022-07-06,20548.0,1
2022-07-07,21638.0,1
2022-07-08,21731.0,1
2022-07-09,21592.0,1
2022-07-10,20860.0,1
2022-07-11,19971.0,1
2022-07-12,19324.0,1
2022-07-13,20212.0,1
2022-07-14,20570.0,1
2022-07-15,20836.0,1
2022-07-16,21190.0,1
2022-07-17,20779.0,1
2022-07-18,22486.0,1
2022-07-19,23389.0,2
2022-07-20,23232.0,2
2022-07-21,23165.0,2
2022-07-22,22715.0,2
2022-07-23,22465.0,2
2022-07-24,22609.0,2
2022-07-25,21362.0,2
2022-07-26,21240.0,2
2022-07-27,22931.0,2
2022-07-28,23844.0,2
2022-07-29,23805.0,2
2022-07-30,23656.0,2
2022-07-31,23337.0,2
2022-08-01,23314.0,2
2022-08-02,22978.0,2
2022-08-03,22847.0,2
2022-08-04,22631.0,2
2022-08-05,23289.0,2
2022-08-06,22961.0,2
2022-08-07,23176.0,2
2022-08-08,23809.0,2
2022-08-09,23164.0,2
2022-08-10,23948.0,2
2022-08-11,23958.0,2
2022-08-12,24403.0,2
2022-08-13,24424.0,2
2022-08-14,24319.0,3
2022-08-15,24137.0,2
2022-08-16,23883.0,2
2022-08-17,23336.0,2
2022-08-18,23213.0,2
2022-08-19,20878.0,2
2022-08-20,21166.0,2
2022-08-21,21534.0,2
2022-08-22,21399.0,2
2022-08-23,21528.0,2
2022-08-24,21395.0,1
2022-08-25,21601.0,1
2022-08-26,20260.0,2
2022-08-27,20042.0,2
2022-08-28,19617.0,2
2022-08-29,20298.0,1
2022-08-30,19797.0,2
